time,100_km,150_km,200_km,ocean
0,28360.6532193401,39500.1269274131,44309.4992437288,22870.7941453572
10,30896.1180214663,42598.5551478515,46421.4557399789,21169.9478705096
20,30857.1619865852,43285.5459130534,48059.6437652014,27963.2020204016
30,30544.8181583801,43326.3059187594,48428.8264023785,25248.1118553844
40,33244.7284171265,45677.4253879598,51235.1035530639,24927.2154270317
50,29542.7635210874,41136.2190466058,47083.9154004403,30903.1539553704
60,33658.5801062694,44636.3551484671,49481.8476067126,27560.1588723659
70,26950.563261318,34579.4203319833,39024.6183200567,30131.5935131692
80,31908.4379012616,42451.8993081386,48453.9479456524,31055.6330813058
90,28134.8878569157,38382.7226098164,43951.8287860902,32471.7731166929
100,31203.4007493849,39059.5060175921,42846.8036277899,30450.7752638249
110,29662.4736045021,36419.2080342937,40251.5345568038,25754.5080064112
120,27933.7600907165,33479.4390922723,38342.7964509325,29190.0209515734
130,28276.2051642625,34259.9695504504,38986.3438826386,29060.9762158251
140,28344.1641854088,33782.9829306728,37590.0157984932,23855.7563162142
150,25943.8792144449,34098.5227696473,40708.9481703586,28039.4116389739
160,29643.6540886429,38415.9424662175,44578.7247216326,32136.9657589375
170,27118.6465905305,33626.3043298608,38872.1647489498,30168.8639781448
180,30191.6421704662,36307.882254275,40839.3748205382,26832.4111520961
190,27267.4727320899,35424.4830567574,39685.5039477862,29087.5689955529
200,25834.481027342,33498.6829369564,38974.5009435662,36366.6226353605
210,27297.4820108903,34196.3348580648,39547.0665987255,36679.9071445758
220,24384.4205408371,30419.2602955413,36817.2167323111,41848.80224924
230,23569.1314041355,31224.3952225192,35822.7944094449,42447.9807279271
240,23192.8700748718,26803.2381704741,30738.4706492629,34265.617535261
250,26326.298869791,31125.9375491069,34453.7987728144,34124.6506548129
